epoch,loss,lr,val_loss
0,1.9709331820840421,0.0010000000475,1.6463619834664376
1,1.5646125693402353,0.0010000000475,1.5169891237292559
2,1.4481470139806347,0.0010000000475,1.4494466759272684
3,1.3624342446741851,0.0010000000475,1.4081490285604239
4,1.2954757461475741,0.0010000000475,1.3820266859008301
5,1.2438922795433629,0.0010000000475,1.3668672889963926
6,1.2040772901703596,0.0010000000475,1.3593283208228788
7,1.1731124975505534,0.0010000000475,1.3607035770174425
8,1.1482795850991752,0.0010000000475,1.3634502983671566
9,1.1285892833721436,0.0010000000475,1.3676069743578068
