epoch,loss,lr,val_loss
0,0.41480192530075177,0.0010000000475,0.18465904023552737
1,0.17579703970376812,0.0010000000475,0.16856545279879659
2,0.16296545280439476,0.0010000000475,0.16101716053604084
3,0.15476167865714238,0.0010000000475,0.15586782435814622
4,0.14879742193408727,0.0010000000475,0.153451972534114
5,0.14367154887991998,0.0010000000475,0.15082728829320388
6,0.13961063975455776,0.0010000000475,0.15000968431910044
7,0.13625639549704474,0.0010000000475,0.14858679223751226
8,0.13326719697289818,0.0010000000475,0.14817714286746461
9,0.13068930579711927,0.0010000000475,0.14744681906973892
10,0.12857418762357442,0.0010000000475,0.14764869486084811
11,0.12639761211421399,0.0010000000475,0.14809811371913284
12,0.12459582921109211,0.0010000000475,0.14794916287842275
